Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Shadowghast Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,,209552371,Brown Linen Shirt
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Stone Legion Heraldry,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Barricade of the Endless Empire,,112514904,
Wing Commander's Helmet,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Shadowghast Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Barricade of the Endless Empire,,136938662,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Orgrimmar Tabard,194396987,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Medallion,Crest of the Legionnaire General,Xandria's Kopis of Courage,Chyrus's Crest of Hope,Lightforged Tabard,133368774,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ring of Perpetual Conflict,Stitchflesh's Misplaced Signet,Gluttonous Spike,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Xandria's Kopis of Courage,Encrusted Canopic Lid,Army of the Light Tabard,197456256,
Diadem of Imperious Desire,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Hyperlight Band,Signet of the False Accuser,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Grim-Veiled Cape,Sinful Gladiator's Xiphos,Elysian Sentinel's Aegis,Tabard of the Ascended,178180802,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Ritual Bone Band,Sinful Aspirant's Relentless Brooch,Sinful Aspirant's Badge of Ferocity,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of the Lightbringer,184106006,Precious' Ribbon
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Drape,Meditation's Muse,Acidslough Bulwark,Tabard of the Ascended,165593113,Precious' Ribbon
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Acidslough Bulwark,,119766949,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Arachnid Cipher Ring,Bloodoath Signet,Anima Field Emitter,Stone Legion Heraldry,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Tabard of the Lightbringer,181677258,Lucky Shirt
Plague Handler's Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Entwined Gorger Tendril,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Phial of Putrefaction,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,,165268993,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Waistguard of Expurged Anguish,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Ardent Sunstar Signet,Sinful Aspirant's Medallion,Sinful Aspirant's Emblem,Cowled Batwing Cloak,Sinsmasher,Sinful Gladiator's Guard,,154704488,Master Builder's Shirt
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Signet of the False Accuser,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Gorestained Cleaver,Sinful Gladiator's Guard,Tushui Tabard,146437861,Threads of Tirion
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Anima Field Emitter,Sinful Gladiator's Drape,Supercollider,Acidslough Bulwark,Tabard of the Lightbringer,154551794,Precious' Ribbon
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Engorged Worm Smasher,Sinful Gladiator's Guard,Tabard of the Ascended,153806585,Red Lumberjack Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Guilewind Stone Talons,Entwined Gorger Tendril,Signet of the False Accuser,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,72167450,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Hardened Castle Crushers,Death God's Signet,Ritual Commander's Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,Acidslough Bulwark,Illustrious Guild Tabard,163741382,Fashionable Undershirt
Sinful Gladiator's Plate Helmet,Noble's Birthstone Pendant,Sinful Gladiator's Plate Shoulders,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Stompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Sinful Gladiator's Signet,Entwined Gorger Tendril,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Insignia of Alacrity,Dealer Xy'exa's Cape,Sinful Gladiator's Hacker,Sinful Gladiator's Guard,Tabard of the Ascended,141664274,Antiseptic-Soaked Dressing
Diadem of Imperious Desire,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Shadowghast Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Hyperlight Band,Death God's Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sophisticated Bonecracker,Barricade of the Endless Empire,Renowned Guild Tabard,156303209,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Gluttonous Spike,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Lightbringer,226283851,Precious' Ribbon
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Bargast's Leash,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,Tabard of the Ascended,175959101,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Ritual Bone Band,Signet of the False Accuser,Slimy Consumptive Organ,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,Rustbolt Resistance Tabard,186395929,
Darkfrost Helmet,Reinforced High Collar,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Cloak of Enveloping Manifestations,Sinsmasher,Acidslough Bulwark,Renowned Guild Tabard,98623220,
Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Inscrutable Quantum Device,Blood-Spattered Scale,Mantle of Manifest Sins,Axe of the Deadgrove,Encrusted Canopic Lid,Tabard of Summer Flames,247160183,Fashionable Undershirt
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Shadowghast Ring,Signet of the False Accuser,Slimy Consumptive Organ,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Elysian Sentinel's Aegis,,166646735,
Darkfrost Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Sanguine Vintage,Splintered Heart of Al'ar,Sinful Gladiator's Drape,Engorged Worm Smasher,Encrusted Canopic Lid,Tabard of the Lightbringer,64791081,Artisan Officer's Shirt
Shadowghast Helm,Sinful Gladiator's Pendant,Sinful Gladiator's Plate Shoulders,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Ring of Perpetual Conflict,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Engorged Worm Smasher,Sinful Gladiator's Bulwark,Stormwind Tabard,218020568,Artisan Officer's Shirt
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Renowned Guild Tabard,199152184,Precious' Ribbon
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Dynamo Doomstompers,Reality-Shatter Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Gorestained Cleaver,Barricade of the Endless Empire,Tabard of the Dark Iron,156183143,
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Bloodoath Signet,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Skulker's Wing,Crest of the Legionnaire General,Gorestained Cleaver,Sinful Gladiator's Guard,Tabard of Brute Force,166161372,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,,165914900,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Band of the Risen Bonelord,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Supercollider,Acidslough Bulwark,,164701935,
Shadowghast Helm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Hyperlight Band,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Decadent Nathrian Shawl,Axe of the Deadgrove,Sinful Gladiator's Guard,Wrathful Gladiator's Tabard,33356986,Precious' Ribbon
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Ardent Sunstar Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,,99250043,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritual Bone Band,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Renowned Guild Tabard,74086767,Artisan Officer's Shirt
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Fleshfused Circle,Blood-Spattered Scale,Stone Legion Heraldry,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,Argent Crusader's Tabard,118352641,Fashionable Undershirt
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Shadowghast Ring,Ritual Bone Band,Blood-Spattered Scale,Slimy Consumptive Organ,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,Tabard of the Lightbringer,59232433,Officer's Shirt
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Inscrutable Quantum Device,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Chyrus's Crest of Hope,,166849639,
Shadowghast Helm,Noble's Birthstone Pendant,Vile Butcher's Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Overwhelming Power Crystal,Shroud of the Penitent,Sophisticated Bonecracker,Acidslough Bulwark,,119151404,
Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Baetheas' Ironclad Warboots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Bone Band,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,Stormwind Tabard,169136973,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sinsmasher,Acidslough Bulwark,Tabard of the Dark Iron,165606918,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Sinful Aspirant's Ring,Fleshfused Circle,Macabre Sheet Music,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,,154135172,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Amulet,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestplate,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Gauntlets,Hyperlight Band,Ritual Bone Band,Blood-Spattered Scale,Slimy Consumptive Organ,Crest of the Legionnaire General,Axe of the Deadgrove,Chyrus's Crest of Hope,Renowned Guild Tabard,158366847,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Shadowghast Gauntlets,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Aspirant's Emblem,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Gladiator's Redoubt,,175091275,
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Arachnid Cipher Ring,Ritualist's Treasured Ring,Stone Legion Heraldry,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sinful Gladiator's Swordbreaker,Acidslough Bulwark,,195442580,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Halkias's Towering Pillars,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Gorestained Cleaver,Encrusted Canopic Lid,,169776565,
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Pit Fighter's Wristguards,Guilewind Stone Talons,Death God's Signet,Shadowghast Ring,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Gorestained Cleaver,Acidslough Bulwark,,174300660,
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Bloodoath Signet,Signet of the False Accuser,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Sinful Gladiator's Drape,Axe of the Deadgrove,Sinful Gladiator's Guard,Guild Tabard,115287737,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Gormshell Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Sinful Gladiator's Plate Gauntlets,Ritual Bone Band,Ring of Perpetual Conflict,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Drape of Twisted Loyalties,Sinsmasher,Sinful Gladiator's Guard,Tabard of the Lightbringer,166754709,
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Macabre Sheet Music,Sinful Gladiator's Drape,Gorestained Cleaver,Sinful Gladiator's Guard,Renowned Guild Tabard,139956677,Blue Martial Shirt
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,189585324,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Guilewind Stone Talons,Ritual Bone Band,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Gluttonous Spike,Cowled Batwing Cloak,Gorestained Cleaver,Acidslough Bulwark,,142635489,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Shawl,Engorged Worm Smasher,Acidslough Bulwark,Renowned Guild Tabard,148326091,Red Linen Shirt
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Encrusted Canopic Lid,,180420766,Captain Sanders' Shirt
Shadowghast Helm,Azure-Venom Choker,Sinful Gladiator's Plate Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Fleshfused Circle,Darkmoon Deck: Indomitable,Anima Field Emitter,Mantle of Manifest Sins,Axe of the Deadgrove,Barricade of the Endless Empire,Tabard of the Shattered Sun,88817821,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Ring of Perpetual Conflict,Death God's Signet,Sinful Gladiator's Badge of Ferocity,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Sinsmasher,Encrusted Canopic Lid,Tabard of the Ascended,118609313,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,,226400871,
Darkfrost Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sophisticated Bonecracker,Chyrus's Crest of Hope,,148814723,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Hyperlight Band,Sinful Gladiator's Signet,Sinful Aspirant's Medallion,Sinful Aspirant's Badge of Ferocity,Dealer Xy'exa's Cape,Barbed-Edge of the Stone Legion,Builwark of the Stone Legion,Tabard of the Shattered Sun,50357558,
