,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
407,Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Pulsating Stoneheart,Blighted Margrave's Cloak,Axe of the Deadgrove,,Precious' Ribbon,Sinful Aspirant's Barrier,657.5
408,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Inscrutable Quantum Device,Gluttonous Spike,Dealer Xy'exa's Cape,Supercollider,Renowned Guild Tabard,Artisan Officer's Shirt,Acidslough Bulwark,751.3
409,Sinful Gladiator's Plate Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Valorous Aegis Handguards,Bloodoath Signet,Sinful Gladiator's Ring,Macabre Sheet Music,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Supercollider,Court of Harvesters Tabard,Embroidered Shirt,Acidslough Bulwark,763.9
410,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Death God's Signet,Gluttonous Spike,Anima Field Emitter,Sinful Gladiator's Shawl,Sinful Gladiator's Xiphos,Renowned Guild Tabard,Red Linen Shirt,Encrusted Canopic Lid,1010.4
411,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Slimy Consumptive Organ,Macabre Sheet Music,Blighted Margrave's Cloak,Supercollider,Guild Tabard,Red Linen Shirt,Encrusted Canopic Lid,875.9
412,Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Death God's Signet,Viscera of Coalesced Hatred,Overwhelming Power Crystal,Cowled Batwing Cloak,Axe of the Deadgrove,,,Elysian Sentinel's Aegis,692.4
413,Wing Commander's Helmet,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Ritual Commander's Ring,Blood-Spattered Scale,Inscrutable Quantum Device,Cowled Batwing Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,556.8
414,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Baetheas' Ironclad Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Band of the Risen Bonelord,Signet of the False Accuser,Viscera of Coalesced Hatred,Pulsating Stoneheart,Blighted Margrave's Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,611.6
415,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Guilewind Stone Talons,Signet of the False Accuser,Ritualist's Treasured Ring,Blood-Spattered Scale,Gluttonous Spike,Mantle of Manifest Sins,Gorestained Cleaver,,,Encrusted Canopic Lid,667.9
416,Casque of the Path,Trailspinner Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Hardened Castle Crushers,Fleshfused Circle,Stitchflesh's Misplaced Signet,Heart of Iron,Anima Field Emitter,Cowled Batwing Cloak,Gorestained Cleaver,,,Sylvan Whiteshield,627.1
417,Oversized Centurion Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Shadowghast Ring,Death God's Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Decadent Nathrian Shawl,Sinsmasher,Guild Tabard,,Barricade of the Endless Empire,570.6
418,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Signet of the False Accuser,Anima Field Emitter,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Axe of the Deadgrove,Stormwind Tabard,,Encrusted Canopic Lid,769.9
419,Darkfrost Helmet,Sinful Aspirant's Necklace,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Sinful Aspirant's Plate Warboots,Pit Fighter's Wristguards,Selfless Collector's Gauntlets,Ritualist's Treasured Ring,Ring of Perpetual Conflict,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Medallion,Sinful Gladiator's Drape,Engorged Worm Smasher,,,Barricade of the Endless Empire,794.5
420,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Slimy Consumptive Organ,Blood-Spattered Scale,Dealer Xy'exa's Cape,Gorestained Cleaver,,,Kudebeh's Remarkable Targe,726.9
421,Plague Handler's Greathelm,Muckformed Chain Choker,Prankster's Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Hyperlight Band,Shadowghast Ring,Blood-Spattered Scale,Slimy Consumptive Organ,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Encrusted Canopic Lid,523.4
422,Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Fallen Templar's Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Viscera of Coalesced Hatred,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Ascended Gladius of Glory,Tabard of the Ascended,Precious' Ribbon,Acidslough Bulwark,660.3
423,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Death God's Signet,Pulsating Stoneheart,Slimy Consumptive Organ,Cowled Batwing Cloak,Sacred Sparrer's Edge,Tushui Tabard,,Sylvan Whiteshield,512.8
424,Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Selfless Collector's Girdle,Gormshell Greaves,Dynamo Doomstompers,Selfless Collector's Wristguards,Stonewrought Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Bladedancer's Armor Kit,Spare Meat Hook,Selfless Collector's Greatcloak,Supercollider,Army of the Light Tabard,Fashionable Undershirt,Kudebeh's Remarkable Targe,664.6
425,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Guilewind Stone Talons,Signet of the False Accuser,Band of the Risen Bonelord,Blood-Spattered Scale,Inscrutable Quantum Device,Shroud of the Penitent,Supercollider,,Wound Dressing,Acidslough Bulwark,729.7
426,Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Ritual Bone Band,Signet of the False Accuser,Darkmoon Deck: Indomitable,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sinsmasher,Tabard of the Achiever,Dark Silk Shirt,Waylight Defender,605.4
427,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Shroud of the Penitent,Sophisticated Bonecracker,Ironforge Tabard,,Barricade of the Endless Empire,771.8
428,Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Selfless Collector's Chestplate,Stonebark Girdle,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Selfless Collector's Gauntlets,Entwined Gorger Tendril,Ritual Bone Band,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Tabard of the Dark Iron,,Elysian Sentinel's Aegis,614.8
429,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Fleshfused Crushers,Ritual Commander's Ring,Death God's Signet,Gluttonous Spike,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,,,Elysian Sentinel's Aegis,725.1
430,Darkfrost Helmet,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Shadowghast Gauntlets,Signet of the False Accuser,Bloodoath Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Drape of Twisted Loyalties,Sinsmasher,Tabard of the Lightbringer,Red Lumberjack Shirt,Barricade of the Endless Empire,659.8
431,Wing Commander's Helmet,Muckformed Chain Choker,Selfless Collector's Spaulders,Selfless Collector's Chestplate,Fused Bone Greatbelt,Selfless Collector's Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Shadowghast Ring,Anima Field Emitter,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Sophisticated Bonecracker,,White Swashbuckler's Shirt,Dominance Keep Barrier,573.3
432,Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Gluttonous Spike,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sinsmasher,,Precious' Ribbon,Elysian Sentinel's Aegis,860.7
433,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Girdle of the Soulflayer,Shieldguard's Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Hyperlight Band,Anima Field Emitter,Slimy Consumptive Organ,Cowled Batwing Cloak,Ascended Gladius of Glory,,,Acidslough Bulwark,511.6
434,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Band of the Risen Bonelord,Slimy Consumptive Organ,Gluttonous Spike,Dealer Xy'exa's Cape,Xandria's Kopis of Courage,Renowned Guild Tabard,White Linen Shirt,Barricade of the Endless Empire,707.1
435,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Bloodoath Signet,Blood-Spattered Scale,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Engorged Worm Smasher,,Irradiated Undercoat,Acidslough Bulwark,530.5
436,Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Baetheas' Ironclad Warboots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Arachnid Cipher Ring,Band of the Risen Bonelord,Anima Field Emitter,Spare Meat Hook,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Acidslough Bulwark,761.4
437,Wing Commander's Helmet,Azure-Venom Choker,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Bladesworn Harbinger's Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Hardened Castle Crushers,Ritual Bone Band,Fleshfused Circle,Blood-Spattered Scale,Viscera of Coalesced Hatred,Mantle of Manifest Sins,Supercollider,,Irradiated Undercoat,Barrier of the Chosen,714.3
438,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Mantle of Manifest Sins,Engorged Worm Smasher,,,Barricade of the Endless Empire,631.8
439,Plague Handler's Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Selfless Collector's Chestplate,Shadowghast Waistguard,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Gauntlets of the Iron Furnace,Death God's Signet,Bloodoath Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,,,Acidslough Bulwark,686.9
440,Casque of the Path,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Band of the Risen Bonelord,Anima Field Emitter,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,,,Sinful Gladiator's Guard,689.1
441,Wing Commander's Helmet,Trailspinner Pendant,Epaulettes of Overwhelming Force,Selfless Collector's Chestplate,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Ritualist's Treasured Ring,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Blighted Margrave's Cloak,Ascended Gladius of Glory,Tabard of the 7th Legion,Undisputed Champion's Shirt,Chyrus's Crest of Hope,483.7
442,Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Thunderous Echo Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Overwhelming Power Crystal,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Gorestained Cleaver,,,Acidslough Bulwark,613.0
443,Oversized Centurion Helm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Dynamo Doomstompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Twisted Witherroot Band,Bloodoath Signet,Pulsating Stoneheart,Anima Field Emitter,Cowled Batwing Cloak,Sinsmasher,Tabard of the Achiever,Antiseptic-Soaked Dressing,Acidslough Bulwark,773.9
444,Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Steelcore Girdle,Gormshell Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Guilewind Stone Talons,Ritualist's Treasured Ring,Chalice Noble's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Acidslough Bulwark,614.5
445,Wing Commander's Helmet,Sinful Gladiator's Necklace,Selfless Collector's Spaulders,Selfless Collector's Chestplate,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Spare Meat Hook,Darkmoon Deck: Indomitable,Sinful Gladiator's Drape,Sophisticated Bonecracker,Tabard of the Ascended,Sleeveless T-Shirt,Sinful Gladiator's Guard,421.5
446,Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Punishing Loop,Ardent Sunstar Signet,Viscera of Coalesced Hatred,Bladedancer's Armor Kit,Cloak of Enveloping Manifestations,Axe of the Deadgrove,,,Encrusted Canopic Lid,641.1
447,Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Aspirant's Plate Chestplate,Sinful Gladiator's Plate Girdle,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Ritual Bone Band,Bargast's Leash,Pulsating Stoneheart,Blighted Margrave's Cloak,Axe of the Deadgrove,Stormwind Tabard,,Acidslough Bulwark,456.6
448,Wrathbark Greathelm,Charm of Eternal Winter,Tabone's Branded Pauldrons,Shadowghast Breastplate,Selfless Collector's Girdle,Sapsteel Legplates,Selfless Collector's Warboots,Reality-Shatter Vambraces,Guilewind Stone Talons,Ritual Bone Band,Hyperlight Band,Darkmoon Deck: Indomitable,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Supercollider,,,Acidslough Bulwark,255.8
449,Selfless Collector's GreatHelm,Azure-Venom Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Selfless Collector's Warboots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Commander's Ring,Fleshfused Circle,Sinful Aspirant's Insignia of Alacrity,Anima Field Emitter,Cowled Batwing Cloak,Ascended Gladius of Glory,,,Barricade of the Endless Empire,613.1
450,Sapsteel Warhelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Twisted Witherroot Band,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Shroud of the Penitent,Sinsmasher,Tabard of the Dark Iron,,Acidslough Bulwark,618.9
451,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Shoulderblade Vambraces,Fogweaver Gauntlets,Death God's Signet,Ritual Commander's Ring,Anima Field Emitter,Flame of Battle,Blighted Margrave's Cloak,Sophisticated Bonecracker,,Sleeveless T-Shirt,Barricade of the Endless Empire,219.9
452,Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Tharatos' Charred Chestplate,Stonebark Girdle,Halkias's Towering Pillars,Baetheas' Ironclad Warboots,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Shadowghast Ring,Signet of the False Accuser,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Decadent Nathrian Shawl,Sophisticated Bonecracker,,,Acidslough Bulwark,822.1
453,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Aspirant's Plate Chestplate,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Sinful Aspirant's Plate Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Darkmoon Deck: Indomitable,Macabre Sheet Music,Blighted Margrave's Cloak,Legacy of Thunder,,Blue Linen Shirt,Sinful Aspirant's Barrier,611.1
454,Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Stone Legion Heraldry,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Engorged Worm Smasher,Renowned Guild Tabard,,Sinful Gladiator's Guard,1035.9
455,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fallen Templar's Gauntlets,Hyperlight Band,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Tabard of Summer Flames,,Sinful Gladiator's Guard,1380.1
456,Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,1390.0
457,Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Bloodoath Signet,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Overwhelming Power Crystal,Drape of Twisted Loyalties,Engorged Worm Smasher,Lightforged Tabard,,Barricade of the Endless Empire,972.3
458,Wing Commander's Helmet,Reinforced High Collar,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Amber-Plated Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Fleshfused Crushers,Arachnid Cipher Ring,Fleshfused Circle,Inscrutable Quantum Device,Gluttonous Spike,Silvernote Cloak,Supercollider,Tabard of the Ascended,,Acidslough Bulwark,642.5
459,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Drape of Twisted Loyalties,Axe of the Deadgrove,Tabard of the Kirin Tor,,Acidslough Bulwark,977.1
460,Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Bloodoath Signet,Hyperlight Band,Decanter of Anima-Charged Winds,Stone Legion Heraldry,Mantle of Manifest Sins,Gorestained Cleaver,Tabard of the Lightbringer,Wraps of the Blood-Soaked Brawler,Barricade of the Endless Empire,949.1
461,Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Selfless Collector's Legguards,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Colossal Plate Gauntlets,Sinful Gladiator's Signet,Bloodoath Signet,Gluttonous Spike,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Sinsmasher,Tabard of the Argent Dawn,Red Linen Shirt,Sinful Gladiator's Guard,917.9
462,Plague Handler's Greathelm,Azure-Venom Choker,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fogweaver Gauntlets,Ritual Commander's Ring,Ritual Bone Band,Decanter of Anima-Charged Winds,Grim Codex,Blighted Margrave's Cloak,Engorged Worm Smasher,,Precious' Ribbon,Acidslough Bulwark,877.8
463,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Supercollider,,Undisputed Champion's Shirt,Acidslough Bulwark,1069.4
464,Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Ritualist's Treasured Ring,Blood-Spattered Scale,Anima Field Emitter,Cloak of Enveloping Manifestations,Supercollider,Tabard of the 7th Legion,,Encrusted Canopic Lid,1013.2
465,Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Gormshell Greaves,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Sinful Gladiator's Insignia of Alacrity,Mantle of Manifest Sins,Sinful Gladiator's Swordbreaker,,,Sinful Gladiator's Redoubt,859.9
466,Shadowghast Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Bloodoath Signet,Stone Legion Heraldry,Sinful Aspirant's Insignia of Alacrity,Blighted Margrave's Cloak,Ascended Gladius of Glory,Army of the Light Tabard,,Chyrus's Crest of Hope,1098.9
467,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Sinful Gladiator's Drape,Engorged Worm Smasher,,,Stonewrought Gargoyles Barrier,808.1
