Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Fallen Templar's Gauntlets,Band of the Risen Bonelord,Ritual Commander's Ring,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,Tabard of the Lightbringer,142525234,Precious' Ribbon
Darkfrost Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Shadowghast Armguards,Fogweaver Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Macabre Sheet Music,Gluttonous Spike,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,,168530246,
Plague Handler's Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Shadowghast Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Drape of Twisted Loyalties,Barbed-Edge of the Stone Legion,Builwark of the Stone Legion,,176201426,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Hyperlight Band,Gluttonous Spike,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,,121652165,Ebon Filigreed Doublet
Plague Handler's Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Decanter of Anima-Charged Winds,Inscrutable Quantum Device,Grim-Veiled Cape,Sophisticated Bonecracker,Barricade of the Endless Empire,,244864876,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Shieldguard's Warboots,Reality-Shatter Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,Tabard of the Wyrmrest Accord,100695388,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Shadowghast Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,Tabard of the Lightbringer,132411945,Fashionable Undershirt
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Gorestained Cleaver,Barricade of the Endless Empire,Guild Tabard,244359530,
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Hardened Castle Crushers,Signet of the False Accuser,Twisted Witherroot Band,Overwhelming Power Crystal,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Encrusted Canopic Lid,Renowned Guild Tabard,98896425,Fashionable Undershirt
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Hardened Castle Crushers,Fleshfused Circle,Ritualist's Treasured Ring,Stone Legion Heraldry,Bargast's Leash,Decadent Nathrian Shawl,Gorestained Cleaver,Encrusted Canopic Lid,,162964845,
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Fleshfused Circle,Pulsating Stoneheart,Inscrutable Quantum Device,Selfless Collector's Greatcloak,Gorestained Cleaver,Barricade of the Endless Empire,,155475555,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,,77929426,Rustic Workman's Shirt
Wing Commander's Helmet,Muckformed Chain Choker,Epaulettes of Overwhelming Force,Selfless Collector's Chestplate,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Inscrutable Quantum Device,Darkmoon Deck: Indomitable,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,,196875340,
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Sinful Aspirant's Plate Girdle,Sinful Aspirant's Plate Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Gauntlets,Ardent Sunstar Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Slimy Consumptive Organ,Decadent Nathrian Shawl,Supercollider,Kudebeh's Remarkable Targe,Tabard of the Achiever,241690855,
Wing Commander's Helmet,Azure-Venom Choker,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ardent Sunstar Signet,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Stone Legion Heraldry,Grim-Veiled Cape,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,Blood Knight Tabard,145363557,Electrified Compression Shirt
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Dragonslayer's Brace,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,,96517044,
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Anima Field Emitter,Mantle of Manifest Sins,Sinsmasher,Acidslough Bulwark,,187022384,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Arachnid Cipher Ring,Viscera of Coalesced Hatred,Anima Field Emitter,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,Stormwind Tabard,172062973,
Shadowghast Helm,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Commander's Ring,Ring of Perpetual Conflict,Decanter of Anima-Charged Winds,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,Tabard of the Ascended,115107338,
Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Shoulderblade Vambraces,Guilewind Stone Talons,Sinful Gladiator's Ring,Signet of the False Accuser,Viscera of Coalesced Hatred,Sinful Gladiator's Insignia of Alacrity,Drape of Twisted Loyalties,Axe of the Deadgrove,Encrusted Canopic Lid,Tabard of the Wyrmrest Accord,111554269,
Wing Commander's Helmet,Azure-Venom Choker,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Shoulderblade Vambraces,Fallen Templar's Gauntlets,Signet of the False Accuser,Death God's Signet,Anima Field Emitter,Macabre Sheet Music,Dealer Xy'exa's Cape,Sinsmasher,Encrusted Canopic Lid,,197654837,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Stitchflesh's Misplaced Signet,Sanguine Vintage,Slimy Consumptive Organ,Decadent Nathrian Shawl,Sophisticated Bonecracker,Acidslough Bulwark,,195514678,
Shadowghast Helm,Muckformed Chain Choker,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Hyperlight Band,Ritualist's Treasured Ring,Sanguine Vintage,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,Chyrus's Crest of Hope,,102909909,Fashionable Undershirt
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Lightbringer,64660414,Precious' Ribbon
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,,156893097,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Arachnid Cipher Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Gorestained Cleaver,Sinful Gladiator's Guard,Argent Crusader's Tabard,185085894,Undisputed Champion's Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Pulsating Stoneheart,Blighted Margrave's Cloak,Gorestained Cleaver,Encrusted Canopic Lid,Argent Crusader's Tabard,160056280,Squire's Shirt
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Guilewind Stone Talons,Shadowghast Ring,Ring of Perpetual Conflict,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,Silvermoon City Tabard,163389825,
Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Slimy Consumptive Organ,Blood-Spattered Scale,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,Tabard of the Lightbringer,190776907,Common White Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Signet of the False Accuser,Hyperlight Band,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Encrusted Canopic Lid,,174509571,
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Most Regal Signet of Sire Denathrius,Sanguine Vintage,Inscrutable Quantum Device,Decadent Nathrian Shawl,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,,165265455,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Acidslough Bulwark,,188051410,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Gormshell Greaves,Valinor's Ground Pounders,Vambraces of the Depraved Warden,Fleshfused Crushers,Arachnid Cipher Ring,Hyperlight Band,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,,172809122,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,Tabard of the Lightbringer,148224739,Gorgeous Blouse
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Hyperlight Band,Ritual Commander's Ring,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Sinsmasher,Encrusted Canopic Lid,Tabard of the Honorbound,87045038,Dark Silk Shirt
Wrathbark Greathelm,Azure-Venom Choker,Sinful Gladiator's Plate Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Shadowghast Sabatons,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Grim Codex,Inscrutable Quantum Device,Cowled Batwing Cloak,Supercollider,Sinful Gladiator's Guard,Guild Tabard,104853813,Fashionable Undershirt
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Fleshfused Circle,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,,173802273,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Inscrutable Quantum Device,Crest of the Legionnaire General,Sophisticated Bonecracker,Encrusted Canopic Lid,Tushui Tabard,187020069,Ebon Filigreed Shirt
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Gluttonous Spike,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,,162942669,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Sinful Gladiator's Plate Handguards,Ritual Bone Band,Bloodoath Signet,Sanguine Vintage,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Engorged Worm Smasher,Builwark of the Stone Legion,,70787323,Common White Shirt
Wing Commander's Helmet,Noble's Birthstone Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Shoulderblade Vambraces,Colossal Plate Gauntlets,Arachnid Cipher Ring,Death God's Signet,Sanguine Vintage,Blood-Spattered Scale,Cloak of Coordination,Supercollider,Acidslough Bulwark,,91417893,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Shadowghast Breastplate,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Ritual Commander's Ring,Hyperlight Band,Sinful Gladiator's Medallion,Sinful Aspirant's Badge of Ferocity,Cowled Batwing Cloak,Supercollider,Barricade of the Endless Empire,Alliance Tabard,196246195,
Darkfrost Helmet,Azure-Venom Choker,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Shadowghast Waistguard,Legplates of Unholy Frenzy,Dynamo Doomstompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Ritual Bone Band,Bloodoath Signet,Inscrutable Quantum Device,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Sinful Gladiator's Guard,Stormwind Tabard,139351500,
Plague Handler's Greathelm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Shadowghast Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Ardent Sunstar Signet,Fleshfused Circle,Blood-Spattered Scale,Darkmoon Deck: Voracity,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Chyrus's Crest of Hope,Tabard of the Zandalari,162556677,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,97450151,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Sanguine Vintage,Gluttonous Spike,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,,158931296,Precious' Ribbon
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Stone Legion Heraldry,Sanguine Vintage,Drape of Twisted Loyalties,Supercollider,Chyrus's Crest of Hope,Tabard of the Honorbound,84961481,
Plague Handler's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Shadowghast Armguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,,165542782,
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Baetheas' Ironclad Warboots,Hellhound Cuffs,Distorted Construct's Gauntlets,Hyperlight Band,Shadowghast Ring,Anima Field Emitter,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Supercollider,Chyrus's Crest of Hope,,79979616,
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Sinful Gladiator's Ring,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Greatcloak,Ascended Gladius of Glory,Elysian Sentinel's Aegis,,154417864,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Fallen Templar's Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Gorestained Cleaver,Acidslough Bulwark,,115319071,Precious' Ribbon
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Ardent Sunstar Signet,Hyperlight Band,Inscrutable Quantum Device,Sinful Gladiator's Insignia of Alacrity,Decadent Nathrian Shawl,Sophisticated Bonecracker,Acidslough Bulwark,Tabard of the Shattered Sun,156903290,Precious' Ribbon
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Slimy Consumptive Organ,Crest of the Legionnaire General,Sophisticated Bonecracker,Barricade of the Endless Empire,Renowned Guild Tabard,127543520,Hide of the Murderaffe
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Shadowghast Armguards,Fleshfused Crushers,Ardent Sunstar Signet,Ritual Bone Band,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,,194666788,
Oversized Centurion Helm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Selfless Collector's Girdle,Galvanized Oxxein Legguards,Dynamo Doomstompers,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Ring of Perpetual Conflict,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,Guild Tabard,166101444,
Shadowghast Helm,Sin Stained Pendant,Dread Sentinel's Ebony Spaulders,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Reality-Shatter Vambraces,Gloves of the Pythonic Guardian,Ritual Bone Band,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Stone Legion Heraldry,Cloak of Enveloping Manifestations,Gorestained Cleaver,Sinful Gladiator's Redoubt,,244560673,Precious' Ribbon
Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,,242672733,
Wing Commander's Helmet,Trailspinner Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Shadowghast Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Colossal Plate Gauntlets,Ritual Bone Band,Ritual Commander's Ring,Inscrutable Quantum Device,Macabre Sheet Music,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,,158808017,
Shadowghast Helm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Signet of the False Accuser,Overwhelming Power Crystal,Sinful Gladiator's Medallion,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,Renowned Guild Tabard,152789283,Artisan Officer's Shirt
Plague Handler's Greathelm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Shadowghast Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Colossal Plate Gauntlets,Hyperlight Band,Signet of the False Accuser,Phial of Putrefaction,Overwhelming Power Crystal,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,,105317872,
Darkfrost Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Bone Band,Ritual Commander's Ring,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Reaver of Renewed Resolve,Acidslough Bulwark,Tabard of the Ascended,175796751,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Stone Legion Heraldry,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,,127329769,Scarlet Filigreed Shirt
