Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Arachnid Cipher Ring,Bloodoath Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,172697800,Threads of Tirion,Argent Crusader's Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Legplates of Unholy Frenzy,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,Chyrus's Crest of Hope,18820223,Artisan Officer's Shirt,Tabard of the Lightbringer
Wing Commander's Helmet,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Shadowghast Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Drape of Twisted Loyalties,Sinsmasher,Encrusted Canopic Lid,157662037,Fashionable Undershirt,Huojin Tabard
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Ring of Perpetual Conflict,Death God's Signet,Sinful Gladiator's Badge of Ferocity,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Sinsmasher,Encrusted Canopic Lid,118609313,,Tabard of the Ascended
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Sinful Gladiator's Plate Gauntlets,Ritual Commander's Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Sinsmasher,Barricade of the Endless Empire,190883503,Last Season's Shirt,
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Selfless Collector's Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Selfless Collector's Gauntlets,Bloodoath Signet,Death God's Signet,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Decadent Nathrian Shawl,Axe of the Deadgrove,Barricade of the Endless Empire,156363333,,
Plague Handler's Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Hyperlight Band,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,52707176,Initiate's Shirt,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Tharatos' Charred Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Acidslough Bulwark,115920321,Precious' Ribbon,Tabard of the 7th Legion
Darkfrost Helmet,Sinful Aspirant's Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Vambraces of the Depraved Warden,Sinful Aspirant's Plate Gauntlets,Hyperlight Band,Sinful Aspirant's Signet,Sinful Aspirant's Emblem,Sinful Aspirant's Medallion,Crest of the Legionnaire General,Sinsmasher,Encrusted Canopic Lid,139822585,Brown Linen Shirt,
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,175769732,,
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Bloodoath Signet,Slimy Consumptive Organ,Gluttonous Spike,Cloak of Enveloping Manifestations,Sinful Gladiator's Swordbreaker,Acidslough Bulwark,242979823,,
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Hardened Castle Crushers,Signet of the False Accuser,Twisted Witherroot Band,Overwhelming Power Crystal,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Encrusted Canopic Lid,98896425,Fashionable Undershirt,Renowned Guild Tabard
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Bloodoath Signet,Death God's Signet,Phial of Putrefaction,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,178770969,Red Linen Shirt,Tabard of Summer Flames
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Anima Field Emitter,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Barricade of the Endless Empire,158410236,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Hardened Castle Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,195731446,,Tabard of the Ascended
Darkfrost Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Ritualist's Treasured Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Sinsmasher,Sinful Gladiator's Guard,165834377,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Fleshfused Circle,Decanter of Anima-Charged Winds,Gluttonous Spike,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,62167088,Artisan Officer's Shirt,Renowned Guild Tabard
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Bladedancer's Armor Kit,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,162561989,,Tabard of the Explorer
Shieldguard's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,The General's Heart,Decadent Nathrian Shawl,Engorged Worm Smasher,Sinful Gladiator's Guard,200448903,,Renowned Guild Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Hellhound Cuffs,Hardened Castle Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Gluttonous Spike,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,202951751,Master Builder's Shirt,Renowned Guild Tabard
Darkfrost Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Endlessly Gluttonous Greaves,Sinful Aspirant's Plate Warboots,Hellhound Cuffs,Colossal Plate Gauntlets,Hyperlight Band,Death God's Signet,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,66737729,Stylish Blue Shirt,Tabard of Summer Skies
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Ring of Perpetual Conflict,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Inscrutable Quantum Device,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,175973019,,
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Fleshfused Circle,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,181668374,,Proudmoore Admiralty Tabard
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Selfless Collector's Warboots,Shoulderblade Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Shroud of the Penitent,Engorged Worm Smasher,Acidslough Bulwark,247864670,,
Darkfrost Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Selfless Collector's Gauntlets,Band of the Risen Bonelord,Death God's Signet,Blood-Spattered Scale,Wakener's Frond,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,150728464,,Gilneas Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Binding of Warped Desires,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Shadowghast Armguards,Hardened Castle Crushers,Hyperlight Band,Signet of the False Accuser,Splintered Heart of Al'ar,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Bulwark of the Unbowed,188693204,Artisan Officer's Shirt,Tabard of the Scarlet Crusade
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Bone Band,Inscrutable Quantum Device,Stone Legion Heraldry,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,199356372,Precious' Ribbon,
Iron Riveted War Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Greaves of Iron Intensity,Hellhound Cuffs,Fleshfused Crushers,Shadowghast Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Viscera of Coalesced Hatred,Saronite Animus Cloak,Sinsmasher,Chyrus's Crest of Hope,174275919,Artisan Officer's Shirt,Gilneas Tabard
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Anima Field Emitter,Darkmoon Deck: Indomitable,Dealer Xy'exa's Cape,Supercollider,Encrusted Canopic Lid,142688558,,Renowned Guild Tabard
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Pulsing Spellshield,40264151,,
Casque of the Path,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Gluttonous Spike,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Plague-Etched Hacker,Elysian Sentinel's Aegis,41569423,Dark Silk Shirt,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Colossal Plate Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Gluttonous Spike,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,145906867,Precious' Ribbon,Huojin Tabard
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Death God's Signet,Blood-Spattered Scale,Sanguine Vintage,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,191911674,,
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Baetheas' Ironclad Warboots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Darkmoon Deck: Indomitable,Spare Meat Hook,Drape of Twisted Loyalties,Gorestained Cleaver,Sylvan Whiteshield,242268740,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritualist's Treasured Ring,Band of the Risen Bonelord,Blood-Spattered Scale,Sanguine Vintage,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,114632965,Wraps of the Blood-Soaked Brawler,Tabard of the Ascended
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Shadowghast Ring,Gluttonous Spike,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,201606331,Golden Filigreed Shirt,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Hardened Castle Crushers,Ritual Bone Band,Hyperlight Band,Inscrutable Quantum Device,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,202751165,Irradiated Undercoat,
Plague Handler's Greathelm,Noble's Birthstone Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Fleshfused Circle,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Honortoll Gavel,Chyrus's Crest of Hope,72223974,Artisan Officer's Shirt,
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Dragonslayer's Brace,Frostplate Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Twisted Witherroot Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sinsmasher,Pulsing Spellshield,201992719,,
Darkfrost Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Inscrutable Quantum Device,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,176576209,Scarlet Filigreed Shirt,Tushui Tabard
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Emblem,Cowled Batwing Cloak,Gorestained Cleaver,Sinful Gladiator's Redoubt,244869765,Artisan Member's Shirt,
Wrathbark Greathelm,Trailspinner Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Legplates of Unholy Frenzy,Baetheas' Ironclad Warboots,Hellhound Cuffs,Guilewind Stone Talons,Bloodoath Signet,Death God's Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,159190657,,Tabard of the Achiever
Wing Commander's Helmet,Trailspinner Pendant,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fogweaver Gauntlets,Entwined Gorger Tendril,Shadowghast Ring,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Gorestained Cleaver,Sinful Gladiator's Guard,98252115,,Renowned Guild Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestplate,Shadowghast Waistguard,Galvanized Oxxein Legguards,Dynamo Doomstompers,Shoulderblade Vambraces,Colossal Plate Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Spare Meat Hook,Gluttonous Spike,Mantle of Manifest Sins,Gorestained Cleaver,Acidslough Bulwark,137693709,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Shroud of the Penitent,Sophisticated Bonecracker,Barricade of the Endless Empire,163875207,,Ironforge Tabard
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Ceremonial Parade Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Anima Field Emitter,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,Chyrus's Crest of Hope,245058110,Black Swashbuckler's Shirt,
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Selfless Collector's Girdle,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Selfless Collector's Wristguards,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,Elysian Sentinel's Aegis,36784623,Antiseptic-Soaked Dressing,Tabard of the Lightbringer
Plague Handler's Greathelm,Muckformed Chain Choker,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Valinor's Ground Pounders,Horologist's Wristguards,Fogweaver Gauntlets,Bloodoath Signet,Band of the Risen Bonelord,Splintered Heart of Al'ar,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Engorged Worm Smasher,Duskwarder Shield,226192940,,Gilneas Tabard
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Viscera of Coalesced Hatred,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,245309210,,Tabard of the Zandalari
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Shoulders,Valorous Aegis Breastplate,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Sinful Gladiator's Ring,Sinful Gladiator's Signet,Sanguine Vintage,Inscrutable Quantum Device,Sinful Gladiator's Drape,Sinsmasher,Sinful Gladiator's Guard,167691526,,Renowned Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Shadowghast Armguards,Selfless Collector's Gauntlets,Hyperlight Band,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Mantle of Manifest Sins,Gorestained Cleaver,Barricade of the Endless Empire,161861621,,Tabard of the 7th Legion
Shadowghast Helm,Azure-Venom Choker,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Guilewind Stone Talons,Ritualist's Treasured Ring,Bloodoath Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Engorged Worm Smasher,Sinful Gladiator's Guard,172336374,,
Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Entwined Gorger Tendril,Anima Field Emitter,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Barricade of the Endless Empire,188873798,Sleeveless T-Shirt,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Shieldguard's Warboots,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritual Commander's Ring,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,156295926,,Alliance Tabard
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Saronite Plated Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Gauntlets of Ruthless Reprisal,Signet of the False Accuser,Sinful Gladiator's Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Crest of the Legionnaire General,Engorged Worm Smasher,Acidslough Bulwark,174171892,,
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Band of the Risen Bonelord,Hyperlight Band,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Xandria's Kopis of Courage,Acidslough Bulwark,200121611,Electrified Compression Shirt,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Stone Legion Heraldry,Sinful Gladiator's Insignia of Alacrity,Decadent Nathrian Shawl,Supercollider,Acidslough Bulwark,155209419,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Sinful Gladiator's Plate Wargreaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Engorged Worm Smasher,Encrusted Canopic Lid,151596611,,Tabard of the Ascended
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,148224739,Gorgeous Blouse,Tabard of the Lightbringer
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Fogweaver Gauntlets,Death God's Signet,Ritual Bone Band,Anima Field Emitter,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Axe of the Deadgrove,Elysian Sentinel's Aegis,195170751,,
Wrathbark Greathelm,Reinforced High Collar,Shadowghast Pauldrons,Tharatos' Charred Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Signet,Ardent Sunstar Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,165296752,,
