Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard,Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Supercollider,Sinful Gladiator's Guard,172353075,Gnomeregan Tabard,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Ceremonial Parade Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Ritual Bone Band,Ritualist's Treasured Ring,Inscrutable Quantum Device,Anima Field Emitter,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,195622369,Lightforged Tabard,
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Bloodoath Signet,Stone Legion Heraldry,Spare Meat Hook,Mantle of Manifest Sins,Gorestained Cleaver,Acidslough Bulwark,175998785,,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Engorged Worm Smasher,Encrusted Canopic Lid,83977490,,Precious' Ribbon
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fleshfused Crushers,Band of the Risen Bonelord,Ritual Bone Band,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,197169175,,
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Shoulderblade Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Shadowghast Ring,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Chyrus's Crest of Hope,176602415,Stormwind Tabard,
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Valinor's Ground Pounders,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Ritual Commander's Ring,Sinful Aspirant's Medallion,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Sinful Gladiator's Guard,193660474,,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Aspirant's Plate Legguards,Sinful Gladiator's Plate Stompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Aspirant's Emblem,Splintered Heart of Al'ar,Sinful Gladiator's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,192681831,Renowned Guild Tabard,Artisan Member's Shirt
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Arachnid Cipher Ring,Ritualist's Treasured Ring,Anima Field Emitter,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Encrusted Canopic Lid,116387848,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Selfless Collector's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Elysian Sentinel's Aegis,83306999,Argent Crusader's Tabard,Precious' Ribbon
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Arachnid Cipher Ring,Ritualist's Treasured Ring,Stone Legion Heraldry,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sinful Gladiator's Swordbreaker,Acidslough Bulwark,195442580,,
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Anima Field Emitter,Mantle of Manifest Sins,Sinsmasher,Acidslough Bulwark,187022384,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Ritual Bone Band,Macabre Sheet Music,Pulsating Stoneheart,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,242523079,Tabard of the Lightbringer,Precious' Ribbon
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Colossal Plate Gauntlets,Signet of the False Accuser,Hyperlight Band,Blood-Spattered Scale,Slimy Consumptive Organ,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,161139848,,Sharkskin Tunic
Darkfrost Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Selfless Collector's Gauntlets,Band of the Risen Bonelord,Death God's Signet,Blood-Spattered Scale,Wakener's Frond,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,150728464,Gilneas Tabard,
Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Shadowghast Armguards,Hardened Castle Crushers,Bloodoath Signet,Hyperlight Band,Gluttonous Spike,Splintered Heart of Al'ar,Cowled Batwing Cloak,Stoneborn Terrorblade,Acidslough Bulwark,175307045,Tushui Tabard,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Guilewind Stone Talons,Sinful Gladiator's Ring,Signet of the False Accuser,Bargast's Leash,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,147351568,Tabard of the Ascended,Wraps of the Blood-Soaked Brawler
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Blood-Spattered Scale,Gluttonous Spike,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,161671342,Tabard of the Explorer,Artisan Officer's Shirt
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Shadowghast Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Stone Legion Heraldry,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,138541466,Tabard of the Achiever,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Ring of Perpetual Conflict,Ritual Bone Band,Overwhelming Power Crystal,Anima Field Emitter,Mantle of Manifest Sins,Sinsmasher,Acidslough Bulwark,141341201,Tabard of the Wyrmrest Accord,Fashionable Undershirt
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Signet of the False Accuser,Hyperlight Band,Slimy Consumptive Organ,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,246721242,,Precious' Ribbon
Wrathbark Greathelm,Valeshroud Torque,Queensguard Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Queensguard Vambraces,Queensguard Gauntlets,Ardent Sunstar Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Sinsmasher,Encrusted Canopic Lid,78209257,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Ember-Scarred Girdle,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Engorged Worm Smasher,Encrusted Canopic Lid,246997567,,Artisan Member's Shirt
Sinful Gladiator's Plate Helm,Sinful Aspirant's Necklace,Shoulderplates of the Eternal,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Shadowghast Armguards,Gauntlets of Ruthless Reprisal,Stitchflesh's Misplaced Signet,Hyperlight Band,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Medallion,Cowled Batwing Cloak,Meditation's Muse,Chyrus's Crest of Hope,119988859,Tabard of the Lightbringer,Artisan Officer's Shirt
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Shadowghast Ring,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,96768294,Tabard of the Protector,Undisputed Champion's Shirt
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Skulker's Wing,Drape of Twisted Loyalties,Sophisticated Bonecracker,Encrusted Canopic Lid,134022315,,Artisan Member's Shirt
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Shadowghast Ring,Sanguine Vintage,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Gorestained Cleaver,Acidslough Bulwark,93517910,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Supercollider,Barricade of the Endless Empire,192848564,Tabard of the Lightbringer,Irradiated Undercoat
Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,242672733,,
Darkfrost Helmet,Azure-Venom Choker,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Shadowghast Waistguard,Legplates of Unholy Frenzy,Dynamo Doomstompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Ritual Bone Band,Bloodoath Signet,Inscrutable Quantum Device,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Sinful Gladiator's Guard,139351500,Stormwind Tabard,
Wing Commander's Helmet,Noble's Birthstone Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Guilewind Stone Talons,Death God's Signet,Shadowghast Ring,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Supercollider,Barricade of the Endless Empire,166783520,Lightforged Tabard,
Shadowghast Helm,Sinful Gladiator's Amulet,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritual Bone Band,Fleshfused Circle,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,155141153,,Gray Woolen Shirt
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sacred Sparrer's Edge,Barricade of the Endless Empire,174684035,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Viscera of Coalesced Hatred,Drape of Twisted Loyalties,Xandria's Kopis of Courage,Acidslough Bulwark,116201153,,
Plague Handler's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Shadowghast Armguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,165542782,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,168998405,Tabard of the 7th Legion,Precious' Ribbon
Sinful Aspirant's Plate Helm,Muckformed Chain Choker,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Shadowghast Sabatons,Hellhound Cuffs,Fleshfused Crushers,Twisted Witherroot Band,Sinful Gladiator's Ring,Sinful Aspirant's Medallion,Sinful Gladiator's Badge of Ferocity,Crest of the Legionnaire General,Supercollider,Sinful Gladiator's Guard,156799466,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Arachnid Cipher Ring,Bloodoath Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,172697800,Argent Crusader's Tabard,Threads of Tirion
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Slimy Consumptive Organ,Pulsating Stoneheart,Sinful Gladiator's Drape,Axe of the Deadgrove,Sinful Gladiator's Guard,116739417,Argent Crusader's Tabard,Fashionable Undershirt
Dread Sentinel's Ebony Headgear,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Dread Sentinel's Ebony Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Twisted Witherroot Band,Bladedancer's Armor Kit,Inscrutable Quantum Device,Sinful Gladiator's Drape,Supercollider,Encrusted Canopic Lid,88524703,Guild Tabard,Green Linen Shirt
Shadowghast Helm,Trailspinner Pendant,Steelcore Shoulders,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Drape of Twisted Loyalties,Sinsmasher,Acidslough Bulwark,165255332,Darkspear Tabard,
Shadowghast Helm,Azure-Venom Choker,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritual Commander's Ring,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,174775117,,
Shadowghast Helm,Sinful Aspirant's Necklace,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Fleshfused Circle,Blood-Spattered Scale,Gluttonous Spike,Sinful Gladiator's Drape,Supercollider,Barricade of the Endless Empire,25277567,Gilneas Tabard,Stylish Black Shirt
Darkfrost Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Bone Band,Ritual Commander's Ring,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Reaver of Renewed Resolve,Acidslough Bulwark,175796751,Tabard of the Ascended,
Shieldguard's Greathelm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Fleshfused Circle,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Encrusted Canopic Lid,187730471,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Arachnid Cipher Ring,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Legacy of Thunder,Barricade of the Endless Empire,175046183,,
Wrathbark Greathelm,Azure-Venom Choker,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Fleshfused Circle,Shadowghast Ring,Blood-Spattered Scale,Gluttonous Spike,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,162249848,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Ritual Bone Band,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Reaver of Renewed Resolve,Acidslough Bulwark,160134091,,Precious' Ribbon
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Blood-Spattered Scale,Wrap of Unity,Axe of the Deadgrove,Barricade of the Endless Empire,174749459,Undercity Tabard,
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Ascended Gladius of Glory,Encrusted Canopic Lid,157807218,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Sinful Gladiator's Ring,Bloodoath Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Engorged Worm Smasher,Encrusted Canopic Lid,177454696,,
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Hardened Castle Crushers,Twisted Witherroot Band,Arachnid Cipher Ring,Sinful Aspirant's Badge of Ferocity,Inscrutable Quantum Device,Sinful Gladiator's Drape,Axe of the Deadgrove,Encrusted Canopic Lid,103410063,,Initiate's Shirt
Wing Commander's Helmet,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Shadowghast Gauntlets,Signet of the False Accuser,Ring of Perpetual Conflict,Bladedancer's Armor Kit,Darkmoon Deck: Indomitable,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,188869283,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Ritual Bone Band,Slimy Consumptive Organ,Pulsating Stoneheart,Sinful Gladiator's Drape,Axe of the Deadgrove,Acidslough Bulwark,162806837,,
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Bloodoath Signet,Death God's Signet,Phial of Putrefaction,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,178770969,Tabard of Summer Flames,Red Linen Shirt
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Sinful Gladiator's Plate Gauntlets,Signet of the False Accuser,Shadowghast Ring,Decanter of Anima-Charged Winds,Gluttonous Spike,Mantle of Manifest Sins,Sinsmasher,Barricade of the Endless Empire,177510032,,
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Entwined Gorger Tendril,Stitchflesh's Misplaced Signet,Sinful Aspirant's Badge of Ferocity,Anima Field Emitter,Cowled Batwing Cloak,Gorestained Cleaver,Acidslough Bulwark,243667576,Tabard of the Ebon Blade,Irradiated Undercoat
Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestplate,Shadowghast Waistguard,Galvanized Oxxein Legguards,Dynamo Doomstompers,Shoulderblade Vambraces,Colossal Plate Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Spare Meat Hook,Gluttonous Spike,Mantle of Manifest Sins,Gorestained Cleaver,Acidslough Bulwark,137693709,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Signet of the False Accuser,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,139168354,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,156196167,Court of Harvesters Tabard,
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Shadowghast Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,209552371,,Brown Linen Shirt
